translate.google.com,,,,,
battle.net,Akamai,26,,,
thesaurus.com,Akamai,112,,,
weebly.com,,,,,
espncricinfo.com,Akamai,61,,,
gamefaqs.com,,,,,
leagueoflegends.com,,,,,
reverso.net,Microsoft Azure,5,,,
khanacademy.org,,,,,
xe.com,Akamai,100,,,
timeanddate.com,Instart Logic,100,,,
y8.com,Akamai,10,,,
developer.android.com,,,,,
xbox.com,Akamai,102,Limelight,5,
ea.com,Akamai,120,,,
ign.com,Instart Logic,100,Fastly,18,
bbc.com,Fastly,50,,,
scratch.mit.edu,Fastly,81,,,
codecademy.com,,,,,
sitepoint.com,,,,,
history.com,Fastly,134,,,
fontawesome.io,,,,,
nintendo.com,,,,,
britannica.com,Edgecast,5,,,
blizzard.com,,,,,
